latitude,longitude,title,ipa,nome,tipo
37.516667,15.066667,Città Metropolitana di Catania,cmct,cataniametropolitana,altrepa
38.115556,13.361389,Città Metropolitana di Palermo,p_pa,palermometropolitana,altrepa
37.5146225,15.0768163,G.B. Vaccarini,istsc_ctis01700v,scuolagbvaccarinict,altrepa
45.066667,7.7,Città Metropolitana di Torino,cmto,torinometropolitana,altrepa
37.5036,15.0867,Università degli Studi di Catania,uni_ct,unict,altrepa
44.4204643,11.9110451,Unione dei Comuni della Bassa Romagna,UNCOBARO,unionecomunibassaromagna,altrepa
38.11768,13.370131,Università degli Studi di Palermo,uni_pa,unipa,altrepa
45.069444,7.688889,Università degli Studi di Torino,UNITO,unito,altrepa
42.694444,13.2475,Accumoli,c_a019,accumoli,comune
42.7692,13.40945,Acquasanta Terme,c_a044,acquasantaterme,comune
37.65,14.516667,Agira,c_a070,agira,comune
40.557778,8.321944,Alghero,c_a192,alghero,comune
38.042222,13.550278,Altavilla Milicia,c_a229,altavillamilicia,comune
43.816667,10.674722,Altopascio,c_a241,altopascio,comune
42.9801,13.3575,Amandola,c_a252,amandola,comune
,,,,amandola,comune
42.629381,13.288372,Amatrice,c_a258,amatrice,comune
41.231667,16.308333,Andria,c_a285,andria,comune
42.416667,13.083333,Antrodoco,c_a315,antrodoco,comune
,,,,antrodoco,comune
43.393064,13.130269,Apiro,c_a329,apiro,comune
,,,,apiro,comune
42.899058,13.665989,Appignano Del Tronto,c_a335,appignano-del-tronto,comune
,,,,appignano-del-tronto,comune
42.772565,13.296643,Arquata del Tronto,c_a437,arquata_del_tronto,comune
42.583683,12.768,Arrone,c_a439,arrone,comune
,,,,arrone,comune
42.854722,13.575278,Ascoli Piceno,c_a462,ascoli-piceno,comune
,,,,ascoli-piceno,comune
38.083333,13.5,Bagheria,c_a546,bagheria,comune
38.15,15.216667,Barcellona Pozzo di Gotto,c_a638,barcellona_pozzo_di_gotto,comune
42.451389,13.283056,Barete,c_a656,barete,comune
,,,,barete,comune
41.125278,16.866667,Bari,c_a662,bari,comune
41.316667,16.283333,Barletta,c_a669,barletta,comune
43.164169,13.237464,Belforte Del Chienti,c_a739,belforte-del-chienti,comune
,,,,belforte-del-chienti,comune
43.0915,13.538881,Belmonte Piceno,c_a760,belmonte-piceno,comune
,,,,belmonte-piceno,comune
37.583333,14.983333,Belpasso,c_a766,belpasso,comune
41.108333,16.691667,Bitonto,c_a893,bitonto,comune
44.493889,11.342778,Bologna,c_a944,bologna,comune
42.9934,13.2288,Bolognola,c_a947,bolognola,comune
,,,,bolognola,comune
44.88944,11.41542,Bondeno,c_a965,bondeno,comune
42.516667,13.133333,Borbona,c_a981,borbona,comune
,,,,borbona,comune
43.778897,7.672128,Bordighera,c_a984,bordighera,comune
42.4,13.066667,Borgo Velino,c_a996,borgo-velino,comune
,,,,borgo-velino,comune
40.066667,18.316667,Botrugno,c_b086,botrugno,comune
40.638333,17.945833,Brindisi,c_b180,brindisi,comune
42.458333,13.228889,Cagnano Amiterno,c_b358,cagnano-amiterno,comune
,,,,cagnano-amiterno,comune
43.138169,13.225139,Caldarola,c_b398,caldarola,comune
,,,,caldarola,comune
43.131819,13.063831,Camerino,c_b474,camerino,comune
,,,,camerino,comune
42.726131,13.686089,Campli,c_b515,campli,comune
,,,,campli,comune
37.259444,13.919167,Campobello di Licata,c_b520,campobello_di_licata,comune
43.1317,13.265889,Camporotondo di Fiastrone,c_b561,camporotondo-di-fiastrone,comune
,,,,camporotondo-di-fiastrone,comune
42.55884,13.36799,Campotosto,c_b569,campotosto,comune
,,,,campotosto,comune
44.016667,11.083333,Cantagallo,c_b626,cantagallo,comune
38.166667,13.233333,Capaci,c_b645,capaci,comune
43.875556,10.573611,Capannori,c_b648,capannori,comune
42.52041,13.30122,Capitignano,c_b658,capitignano,comune
40.266667,18.25,Caprarica di Lecce,c_b690,capraricadilecce,comune
42.716667,13.016667,Cascia,c_b948,cascia,comune
37.930556,14.088333,Castelbuono,c_c067,castelbuono,comune
42.55,13.716667,Castel Castagna,c_c040,castel-castagna,comune
,,,,castel-castagna,comune
42.869553,13.7133,Castel Di Lama,c_c093,castel-di-lama,comune
,,,,castel-di-lama,comune
42.488889,13.7125,Castelli,c_c169,castelli,comune
,,,,castelli,comune
44.577778,11.361667,Castel Maggiore,c_c204,castelmaggiore,comune
43.2091,13.0546,Castelraimondo,c_c251,castelraimondo,comune
,,,,castelraimondo,comune
42.4,13.016667,Castel Sant'Angelo,c_c268,castel-santangelo,comune
,,,,castel-santangelo,comune
42.894619,13.153311,Castelsantangelo sul Nera,c_c267,castelsantangelo-sul-nera,comune
,,,,castelsantangelo-sul-nera,comune
42.938139,13.621944,Castignano,c_c321,castignano,comune
,,,,castignano,comune
42.898347,13.727569,Castorano,c_c331,castorano,comune
,,,,castorano,comune
37.502669,15.087269,Catania,c_c351,catania,comune
44.733333,11.283333,Cento,c_c469,cento,comune
43.319739,12.984769,Cerreto d'Esi,c_c524,cerreto-desi,comune
,,,,cerreto-desi,comune
